DD Field,Source Field,Field Description,Resource
SocialMediaFacebookUrlOrId,SocialMediaFacebookUrlOrId,"The website URL or ID of social media site or account of the member.  This is a repeating element.  Replace [Type] with any of the options from the SocialMediaType field to create a unique field for that type of social media.  For example: SocialMediaFacebookUrlOrID, SocialMediaSkypeUrlOrID, etc.",Member
SocialMediaLinkedInUrlOrId,SocialMediaLinkedInUrlOrId,"The website URL or ID of social media site or account of the member.  This is a repeating element.  Replace [Type] with any of the options from the SocialMediaType field to create a unique field for that type of social media.  For example: SocialMediaFacebookUrlOrID, SocialMediaSkypeUrlOrID, etc.",Member
SocialMediaTwitterUrlOrId,SocialMediaTwitterUrlOrId,"The website URL or ID of social media site or account of the member.  This is a repeating element.  Replace [Type] with any of the options from the SocialMediaType field to create a unique field for that type of social media.  For example: SocialMediaFacebookUrlOrID, SocialMediaSkypeUrlOrID, etc.",Member
SocialMediaWebsiteUrlOrId,SocialMediaWebsiteUrlOrId,"The website URL or ID of social media site or account of the member.  This is a repeating element.  Replace [Type] with any of the options from the SocialMediaType field to create a unique field for that type of social media.  For example: SocialMediaFacebookUrlOrID, SocialMediaSkypeUrlOrID, etc.",Member
BridgeModificationTimestamp,,A timestamp representing when last this record was modified in the Bridge system.,Office
FranchiseAffiliation,FranchiseAffiliation,The name of the franchise to which the broker/office is contracted.,Office
IDXOfficeParticipationYN,IDXOfficeParticipationYN,Does the Office/Broker participate in IDX.,Office
MainOfficeKey,MainOfficeKeyNumeric,OfficeKey of the Main Office in a firm/company of offices.  This is a self referencing foreign key relating to this resource's OfficeKey.  This key may be the same value as the OfficeKey for a given record if the given office is the Main Office.,Office
MainOfficeKeyNumeric,MainOfficeKeyNumeric,OfficeKey of the Main Office in a firm/company of offices.  This is a self referencing foreign key relating to this resource's OfficeKey.  This key may be the same value as the OfficeKey for a given record if the given office is the Main Office.  This is the numeric only key and used as an alternative to the MainOfficeKey field.,Office
MainOfficeMlsId,MainOfficeMlsId,OfficeMlsId of the Main Office in a firm/company of offices.,Office
Media,,"An object containing media information such as id, url and type.",Office
ModificationTimestamp,ModificationTimestamp,Date/time the roster (member or office) record was last modified.,Office
OfficeAOR,OfficeAOR,The Office's Board or Association of REALTORS.,Office
OfficeAddress1,OfficeAddress1,"The street number, direction, name and suffix of the office.",Office
OfficeAddress2,OfficeAddress2,The unit/suite number of the office.,Office
OfficeBrokerKey,OfficeBrokerKeyNumeric,The MemberKey of the responsible/owning broker.  This is a foreign key relating to the Member resource's MemberKey.,Office
OfficeBrokerKeyNumeric,OfficeBrokerKeyNumeric,The MemberKey of the responsible/owning broker.  This is a foreign key relating to the Member resource's MemberKey.  This is the numeric only key and used as an alternative to the OfficeBrokerKey field.,Office
OfficeBrokerMlsId,OfficeBrokerMlsId,The MemberMlsId of the responsible/owning broker.,Office
OfficeCity,OfficeCity,The city of the office.,Office
OfficeCorporateLicense,OfficeCorporateLicense,"When an office/firm is a corporation, an independent license number is issued.",Office
OfficeCountyOrParish,OfficeCountyOrParish,The county or parish in which the offices is located.,Office
OfficeEmail,OfficeEmail,The email address of the office,Office
OfficeFax,OfficeFax,North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.,Office
OfficeKey,OfficeKeyNumeric,"A system unique identifier. Specifically, in aggregation systems, the Key is the system unique identifier from the system that the record was just retrieved. This may be identical to the related xxxId identifier, but the key is guaranteed unique for this record set.",Office
OfficeKeyNumeric,OfficeKeyNumeric,"A unique identifier for this record from the immediate source. This is the numeric only key and used as an alternative to the OfficeKey fields.  This is the local key of the system.  When records are received from other systems, a local key is commonly applied.  If conveying the original keys from the source or originating systems, see SourceSystemOfficeKey and OriginatingSystemOfficeKey.",Office
OfficeManagerKey,OfficeManagerKeyNumeric,The lead Office Manager for the given office.  This is a foreign key relating to the Member resource's MemberKey.,Office
OfficeManagerKeyNumeric,OfficeManagerKeyNumeric,The lead Office Manager for the given office.  This is a foreign key relating to the Member resource's MemberKey.  This is the numeric only key and used as an alternative to the OfficeManagerKey field.,Office
OfficeManagerMlsId,OfficeManagerMlsId,The lead Office Manager for the given office.,Office
OfficeMlsId,OfficeMlsId,"The local, well-known identifier. This value may not be unique, specifically in the case of aggregation systems, this value should be the identifier from the original system.",Office
OfficeName,OfficeName,The legal name of the brokerage.,Office
OfficeNationalAssociationId,OfficeNationalAssociationId,The national association ID of the office.  i.e. in the U.S. is the NRDS number.,Office
OfficePhone,OfficePhone,North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.,Office
OfficePhoneExt,OfficePhoneExt,The extension of the given phone number (if applicable).,Office
OfficePostalCode,OfficePostalCode,The postal code of the office.,Office
OfficePostalCodePlus4,OfficePostalCodePlus4,The extension of the postal/zip code.  i.e. +4,Office
OfficeStateOrProvince,OfficeStateOrProvince,The state or province in which the office is located.,Office
OfficeStatus,OfficeStatus,"Is the office active, inactive or under disciplinary action.",Office
OfficeType,OfficeType,"The type of business conducted by the office.  i.e. Real Estate, Appraiser, etc.",Office
OriginalEntryTimestamp,OriginalEntryTimestamp,Date/time the roster (member or office) record was originally input into the source system.,Office
OriginatingSystemID,,"The RESO OUID's OrganizationUniqueId of the Originating record provider.  The Originating system is the system with authoritative control over the record.  For example; the name of the MLS where the office was input.  In cases where the Originating system was not where the record originated (the authoritative system), see the Originating System fields.",Office
OriginatingSystemName,OriginatingSystemName,The name of the Originating record provider.  Most commonly the name of the MLS. The place where the office is originally input by the member.  The legal name of the company.,Office
OriginatingSystemOfficeKey,OriginatingSystemOfficeKey,"The system key, a unique record identifier, from the Originating system.  The Originating system is the system with authoritative control over the record.  For example, the Multiple Listing Service where the office was input.  There may be cases where the Source System (how you received the record) is not the Originating System.  See Source System Key for more information.",Office
SocialMediaFacebookUrlOrId,SocialMediaFacebookUrlOrId,"The website URL or ID of social media site or account of the member.  This is a repeating element.  Replace [Type] with any of the options from the SocialMediaType field to create a unique field for that type of social media.  For example: SocialMediaFacebookUrlOrID, SocialMediaSkypeUrlOrID, etc.",Office
SocialMediaLinkedInUrlOrId,SocialMediaLinkedInUrlOrId,"The website URL or ID of social media site or account of the member.  This is a repeating element.  Replace [Type] with any of the options from the SocialMediaType field to create a unique field for that type of social media.  For example: SocialMediaFacebookUrlOrID, SocialMediaSkypeUrlOrID, etc.",Office
SocialMediaTwitterUrlOrId,SocialMediaTwitterUrlOrId,"The website URL or ID of social media site or account of the member.  This is a repeating element.  Replace [Type] with any of the options from the SocialMediaType field to create a unique field for that type of social media.  For example: SocialMediaFacebookUrlOrID, SocialMediaSkypeUrlOrID, etc.",Office
SocialMediaWebsiteUrlOrId,SocialMediaWebsiteUrlOrId,"The website URL or ID of social media site or account of the member.  This is a repeating element.  Replace [Type] with any of the options from the SocialMediaType field to create a unique field for that type of social media.  For example: SocialMediaFacebookUrlOrID, SocialMediaSkypeUrlOrID, etc.",Office
SyndicateAgentOption,SyndicateAgentOption,"A list of options allowing the broker to pass the decision of syndication choice down to the listing agents.  i.e. No Agent Choice, Allow Agent Choice, Restrict Agent Choice, etc.",Office
SyndicateTo,SyndicateTo,"The principal broker's choice on where they would like their listings syndicated.  i.e. Zillow, Trulia, Homes.com, etc.",Office
BridgeModificationTimestamp,,A timestamp representing when last this record was modified in the Bridge system.,Openhouse
ITSO_EndTime,OpenHouse: EndTime,End Time,Openhouse
ITSO_EntryOrder,OpenHouse: EntryOrder,Entry Order,Openhouse
ITSO_GeocodeSource,OpenHouse: GeocodeSource,Geocode Source,Openhouse
ITSO_IsDeleted,OpenHouse: IsDeleted,Is Deleted,Openhouse
ITSO_Latitude,OpenHouse: Latitude,Latitude,Openhouse
ITSO_Longitude,OpenHouse: Longitude,Longitude,Openhouse
ITSO_OriginatingSystemListingKey,OpenHouse: OriginatingSystemListingKey,Originating System Listing Key,Openhouse
ITSO_StartTime,OpenHouse: StartTime,Start Time,Openhouse
ListingId,ListingId,"The well known identifier for the listing related to this Open House. The value may be identical to that of the Listing Key, but the Listing ID is intended to be the value used by a human to retrieve the information about a specific listing. In a multiple originating system or a merged system, this value may not be unique and may require the use of the provider system to create a synthetic unique value.",Openhouse
ListingKey,ListingKeyNumeric,"A unique identifier for the listing record related to this Open House. This may be a number, or string that can include URI or other forms.  This is the system you are connecting to and not necessarily the original source of the record.   This may be a foreign key from the resource selected in the ResourceName field.",Openhouse
ListingKeyNumeric,ListingKeyNumeric,"A unique identifier for the listing record related to this Open House. This may be a number, or string that can include URI or other forms.  This is the system you are connecting to and not necessarily the original source of the record.   This may be a foreign key from the resource selected in the ResourceName field.  This is the numeric only key and used as an alternative to the ListingKey field.",Openhouse
LivestreamOpenHouseURL,,Livestream Open House URL,Openhouse
ModificationTimestamp,ModificationTimestamp,The transactional timestamp automatically recorded by the MLS system representing the date/time the Open House was last modified.,Openhouse
OpenHouseDate,OpenHouseDate,The date on which the open house will occur.,Openhouse
OpenHouseEndTime,OpenHouseEndTime,The time the open house ends.,Openhouse
OpenHouseKey,OpenHouseKeyNumeric,"A unique identifier for this record from the immediate source. This may be a number, or string that can include URI or other forms.  This is the system you are connecting to and not necessarily the original source of the record.",Openhouse
OpenHouseKeyNumeric,OpenHouseKeyNumeric,"A unique identifier for this record from the immediate source. This may be a number, or string that can include URI or other forms.  This is the system you are connecting to and not necessarily the original source of the record.  This is the numeric only key and used as an alternative to the OpenHouseKey field.",Openhouse
OpenHouseMethod,"OpenHouseType, VirtualOpenHouseURL","Method for the open house, whether in-person or virtual",Openhouse
OpenHouseRemarks,OpenHouseRemarks,"Comments, instructions or information about the open house.",Openhouse
OpenHouseStartTime,OpenHouseStartTime,The time the open house begins.,Openhouse
OpenHouseStatus,OpenHouseStatus,"Status of the open house, i.e. Active, Cancelled, Ended.",Openhouse
OpenHouseType,OpenHouseType,"The type of open house.  i.e. Public, Broker, Office, Association, Private (invitation or targeted publication).",Openhouse
OriginatingSystemID,,"The RESO OUID's OrganizationUniqueId of the Originating record provider.  The Originating system is the system with authoritative control over the record.  For example; the name of the MLS where the Open House was input.  In cases where the Originating system was not where the record originated (the authoritative system), see the Originating System fields.",Openhouse
OriginatingSystemKey,OriginatingSystemKey,"The system key, a unique record identifier, from the Originating system.  The Originating system is the system with authoritative control over the record.  For example, the Multiple Listing Service where the Open House was input.  There may be cases where the Source System (how you received the record) is not the Originating System.  See Source System Key for more information.",Openhouse
OriginatingSystemName,OriginatingSystemName,The name of the Originating record provider.  Most commonly the name of the MLS. The place where the Open House is originally input.  The legal name of the company.,Openhouse
Refreshments,Refreshments,A description of the refreshments that will be served at the open house.,Openhouse
VirtualOpenHouseURL,VirtualOpenHouseURL,"URL that links to virtual tours, video tours, 3D tours, etc",Openhouse
BridgeModificationTimestamp,,A timestamp representing when last this record was modified in the Bridge system.,Media
ITSO_BlobGuid,Media: BlobGuid,Blob Guid,Media
ITSO_BlobStorageLocation,Media: BlobStorageLocation,Blob Storage Location,Media
ITSO_IsDeleted,Media: IsDeleted,Is Deleted,Media
ITSO_OriginalFilename,Media: OriginalFilename,Original Filename,Media
ITSO_OriginatingSystemRecordKey,Media: OriginatingSystemRecordKey,Originating System Record Key,Media
ITSO_OriginatingSystemTimestamp,Media: OriginatingSystemTimestamp,Originating System Timestamp,Media
ITSO_SupplementType,Media: SupplementType,Supplement Type,Media
ITSO_Table_ID,Media: Table_ID,Table ID,Media
ITSO_Type,Media: Type,Type,Media
ITSO_UploadDate,Media: UploadDate,Upload Date,Media
ImageSizeDescription,FileSize,"A text description of the size of the image.  i.e. Small, Thumbnail, Medium, Large, X-Large.  The largest image must be described as 'Largest'.  Thumbnail must also be included.  Pick List will remain open/extendable.",Media
LongDescription,LongDescription,The full robust description of the object.,Media
MediaCategory,MediaCategory,"Category describing the , Photos, Documents, Video, Unbranded Virtual Tour, Branded Virtual Tour, Floor Plan, Logo",Media
MediaKey,MediaKeyNumeric,"A unique identifier for this record from the immediate source. This may be a number, or string that can include URI or other forms.  This is the system you are connecting to and not necessarily the original source of the record.",Media
MediaKeyNumeric,MediaKeyNumeric,"A unique identifier for this record from the immediate source. This may be a number, or string that can include URI or other forms.  This is the system you are connecting to and not necessarily the original source of the record.  This is the numeric only key and used as an alternative to the MediaKey field.",Media
MediaType,MediaType,"Media Types as defined by IANA.
http://www.iana.org/assignments/media-types/index.html",Media
ModificationTimestamp,ModificationTimestamp,The transactional timestamp automatically recorded by the MLS system representing the date/time the media record was last modified.,Media
Order,Order,Only a positive integer including zero.  Element zero is the primary photo per RETS convention.,Media
OriginatingSystemID,,"The RESO OUID's OrganizationUniqueId of the Originating record provider.  The Originating system is the system with authoritative control over the record.  For example; the name of the MLS where the listing was input.  In cases where the Originating system was not where the record originated (the authoritative system), see the Originating System fields.",Media
OriginatingSystemMediaKey,,"Unique identifier from the originating system which is commonly a key to that system.  In the case where data is passed through more than one system, this is the originating system key.  This is a foreign key relating to the system where this record was originated.",Media
OriginatingSystemName,OriginatingSystemName,The name of the originating record provider.  Most commonly the name of the MLS. The place where the listing is originally input by the member.  The legal name of the company.  To be used for display.,Media
PreferredPhotoYN,PreferredPhotoYN,"When set to true, the media record in question is the preferred photo.  This will typically mean the photo to be shown when only one of the photos is to be displayed.",Media
ResourceName,ResourceName,"The resource or table of the listing or other record the media relates to.  i.e. Property, Member, Office, etc.",Media
ResourceRecordKey,ResourceRecordKeyNumeric,"The primary key of the related record from the source resource. For example the ListingKey, AgentKey, OfficeKey, TeamKey, etc.  This is the system you are connecting to and not necessarily the original source of the record.  This is a foreign key from the resrouce selected in the ResrouceName field.",Media
ResourceRecordKeyNumeric,ResourceRecordKeyNumeric,"The primary key of the related record from the source resource. For example the ListingKey, AgentKey, OfficeKey, TeamKey, etc.  This is the system you are connecting to and not necessarily the original source of the record.  This is a foreign key from the resource selected in the ResourceName field.  This is the numeric only key and used as an alternative to the ResourceRecordKey field.",Media
id,,The unique media ID,Media
BridgeModificationTimestamp,,A timestamp representing when last this record was modified in the Bridge system.,Propertyrooms
ITSO_OriginatingSystemRoomKey,PropertyRooms: OriginatingSystemRoomKey,Originating System Room Key,Propertyrooms
ITSO_OriginatingSystemTimestamp,PropertyRooms: OriginatingSystemTimestamp,Originating System Timestamp,Propertyrooms
ITSO_RoomDimensionsMetric,PropertyRooms: RoomDimensionsMetric,Room Dimensions Metric,Propertyrooms
ListingId,ListingKeyNumeric,"This is the foreign ID relating to the Property Resource. The well known identifier for the listing. The value may be identical to that of the Listing Key, but the Listing ID is intended to be the value used by a human to retrieve the information about a specific listing. In a multiple originating system or a merged system, this value may not be unique and may require the use of the provider system to create a synthetic unique value.",Propertyrooms
ListingKey,ListingKeyNumeric,"This is the foreign key relating to the Property Resource.  A unique identifier for this record from the immediate source. This is a string that can include URI or other forms.  Alternatively use the ListingKeyNumeric for a numeric only key field.  This is the local key of the system.  When records are received from other systems, a local key is commonly applied.  If conveying the original keys from the source or originating systems, see SourceSystemKey and OriginatingSystemKey.",Propertyrooms
ListingKeyNumeric,ListingKeyNumeric,"This is the foreign key relating to the property resource. A unique identifier for this record from the immediate source. This is the numeric only key and used as an alternative to the ListingKey fields.  This is the local key of the system.  When records are received from other systems, a local key is commonly applied.  If conveying the original keys from the source or originating systems, see SourceSystemKey and OriginatingSystemKey.",Propertyrooms
ModificationTimestamp,ModificationTimestamp,Date/time this record was last modified.,Propertyrooms
OriginatingSystemID,,"The RESO OUID's OrganizationUniqueId of the Originating record provider.  The Originating system is the system with authoritative control over the record.  For example; the name of the MLS where the listing was input.  In cases where the Originating system was not where the record originated (the authoritative system), see the Originating System fields.",Propertyrooms
OriginatingSystemKey,,"The system key, a unique record identifier, from the Originating system.  The Originating system is the system with authoritative control over the record.  For example, the Multiple Listing Service where the listing was input.  There may be cases where the Source System (how you received the record) is not the Originating System.  See Source System Key for more information.",Propertyrooms
OriginatingSystemName,,The name of the Originating record provider.  Most commonly the name of the MLS. The place where the listing is originally input by the member.  The legal name of the company.,Propertyrooms
RoomArea,"RoomArea, RoomLength, RoomWidth",The area of the room being described.  Use the RoomAreaUnits field to describe the unit of measurement for the value in this field.,Propertyrooms
RoomAreaUnits,RoomAreaUnits,"The unit of measurement used for the value in the RoomArea field.  e.g. square feet, square meters, etc.",Propertyrooms
RoomDescription,RoomDescription,A textual description of the given room.,Propertyrooms
RoomDimensions,RoomDimensions,A textual description of the dimensions of the given room.,Propertyrooms
RoomFeatures,RoomFeatures,A list of features present in the given room.,Propertyrooms
RoomKey,RoomKeyNumeric,A unique identifier for this record. This is a string that can include URI or other forms.  Alternatively use the '...KeyNumeric' for a numeric only key field.  This is the local key of the system.,Propertyrooms
RoomKeyNumeric,RoomKeyNumeric,A unique identifier for this record. This is the numeric only key and used as an alternative to the string Key field.  This is the local key of the system.,Propertyrooms
RoomLength,RoomLength,A numeric representation of the length of the given room.  See the RoomLengthWidthUnits for the unit of measurement used for the length and width.,Propertyrooms
RoomLengthWidthUnits,RoomLengthWidthUnits,"The unit of measurement used for the value in the RoomLength and the RoomWidth fields.  e.g. feet, meters, etc.",Propertyrooms
RoomLevel,RoomLevel,The level within the dwelling on which the given room is located.,Propertyrooms
RoomType,RoomType,The type of room being described by the other fields in the PropertyRooms resource.,Propertyrooms
RoomWidth,RoomWidth,A numeric representation of the width of the given room.  See the RoomLengthWidthUnits for the unit of measurement used for the length and width.,Propertyrooms
BridgeModificationTimestamp,,A timestamp representing when last this record was modified in the Bridge system.,Propertyunittypes
ITSO_InputEntryOrder,PropertyUnitTypes: InputEntryOrder,Input Entry Order,Propertyunittypes
ITSO_IsDeleted,PropertyUnitTypes: IsDeleted,Is Deleted,Propertyunittypes
ITSO_NumberOfDishwashers,PropertyUnitTypes: NumberOfDishwashers,Number Of Dishwashers,Propertyunittypes
ITSO_NumberOfDryers,PropertyUnitTypes: NumberOfDryers,Number Of Dryers,Propertyunittypes
ITSO_NumberOfRefrigerators,PropertyUnitTypes: NumberOfRefrigerators,Number Of Refrigerators,Propertyunittypes
ITSO_NumberOfStoves,PropertyUnitTypes: NumberOfStoves,Number Of Stoves,Propertyunittypes
ITSO_NumberOfWashers,PropertyUnitTypes: NumberOfWashers,Number Of Washers,Propertyunittypes
ITSO_OriginatingSystemTimestamp,PropertyUnitTypes: OriginatingSystemTimestamp,Originating System Timestamp,Propertyunittypes
ITSO_OriginatingSystemUnitTypeKey,PropertyUnitTypes: OriginatingSystemUnitTypeKey,Originating System Unit Type Key,Propertyunittypes
ITSO_UnitNumber,PropertyUnitTypes: UnitNumber,Unit Number,Propertyunittypes
ITSO_UnitTypeAdditionalRent,PropertyUnitTypes: UnitTypeAdditionalRent,Unit Type Additional Rent,Propertyunittypes
ITSO_UnitTypeDateLeased,PropertyUnitTypes: UnitTypeDateLeased,Unit Type Date Leased,Propertyunittypes
ITSO_UnitTypeLeaseRate,PropertyUnitTypes: UnitTypeLeaseRate,Unit Type Lease Rate,Propertyunittypes
ITSO_UnitTypeNetSqFt,PropertyUnitTypes: UnitTypeNetSqFt,Unit Type Net Sq Ft,Propertyunittypes
ListingId,ListingKeyNumeric,"This is the foreign ID relating to the Property Resource. The well known identifier for the listing. The value may be identical to that of the Listing Key, but the Listing ID is intended to be the value used by a human to retrieve the information about a specific listing. In a multiple originating system or a merged system, this value may not be unique and may require the use of the provider system to create a synthetic unique value.",Propertyunittypes
ListingKey,ListingKeyNumeric,"This is the foreign key relating to the Property Resource. A unique identifier for this record from the immediate source. This is a string that can include URI or other forms. Alternatively use the ListingKeyNumeric for a numeric only key field. This is the local key of the system. When records are received from other systems, a local key is commonly applied. If conveying the original keys from the source or originating systems, see SourceSystemKey and OriginatingSystemKey.",Propertyunittypes
ListingKeyNumeric,ListingKeyNumeric,"This is the foreign key relating to the property resource. A unique identifier for this record from the immediate source. This is the numeric only key and used as an alternative to the ListingKey fields. This is the local key of the system. When records are received from other systems, a local key is commonly applied. If conveying the original keys from the source or originating systems, see SourceSystemKey and OriginatingSystemKey.",Propertyunittypes
ModificationTimestamp,ModificationTimestamp,Date/time this record was last modified.,Propertyunittypes
OriginatingUnitTypeKey,,"The system key, a unique record identifier, from the Originating system.  The Originating system is the system with authoritative control over the record.  For example, the Multiple Listing Service where the office was input.  There may be cases where the Source System (how you received the record) is not the Originating System.  See Source System Key for more information.",Propertyunittypes
UnitTypeActualRent,UnitTypeActualRent,The actual rent per month being collected for a given type of unit.,Propertyunittypes
UnitTypeBathsTotal,UnitTypeBathsTotal,The total number of baths for a given type of unit.,Propertyunittypes
UnitTypeBedsTotal,UnitTypeBedsTotal,The total number of bedrooms for a given type of unit.,Propertyunittypes
UnitTypeDescription,UnitTypeDescription,A textual description of a given type of unit.,Propertyunittypes
UnitTypeKey,UnitTypeKeyNumeric,"A unique identifier for this record. This is a string that can include URI or other forms. Alternatively use the '...KeyNumeric' for a numeric only key field. This is the local key of the system.",Propertyunittypes
UnitTypeKeyNumeric,UnitTypeKeyNumeric,A unique identifier for this record. This is the numeric only key and used as an alternative to the string Key field. This is the local key of the system.,Propertyunittypes
UnitTypeTotalRent,UnitTypeTotalRent,"The total actual rent is the sum of all rent being collected for all units of the given type. For example if you had 5 units of a particular type each collecting $1000, the total actual rent would be $5000.",Propertyunittypes
UnitTypeType,UnitTypeType,"A list of possible Unit Types. i.e. 1, 2, 3 or 2 Bed, Studio, Special Loft, etc.",Propertyunittypes
UnitTypeUnitsTotal,UnitTypeUnitsTotal,The total number of units of the given type.,Propertyunittypes
BridgeModificationTimestamp,,A timestamp representing when last this record was modified in the Bridge system.,Historytransactional
ChangedByMemberKey,,The unique identifier of the member (user) who made the change. This is a foreign key relating to the Member resource's MemberKey.,Historytransactional
BridgeModificationTimestamp,,A timestamp representing when last this record was modified in the Bridge system.,Propertygreenverification
GreenBuildingVerificationKey,GreenBuildingVerificationKeyNumeric,"A unique identifier for this record. This is a string that can include URI or other forms.  Alternatively use the '...KeyNumeric' for a numeric only key field.  This is the local key of the system.",Propertygreenverification
GreenBuildingVerificationKeyNumeric,GreenBuildingVerificationKeyNumeric,A unique identifier for this record. This is the numeric only key and used as an alternative to the string Key field.  This is the local key of the system.,Propertygreenverification
GreenBuildingVerificationType,GreenBuildingVerificationType,"The name of the verification or certification awarded to a new or pre-existing residential or commercial structure. For example: LEED, Energy Star, ICC-700.  In cases where more than one certification have been awarded, leverage multiple iterations of the green verification fields via the repeating element method.",Propertygreenverification
GreenVerificationBody,GreenVerificationBody,The name of the body or group providing the verification/certification/rating named in the GreenBuildingVerificationType field. There is almost always a direct correlation between bodies and programs.,Propertygreenverification
GreenVerificationMetric,GreenVerificationMetric,A final score indicating the performance of energy efficiency design and measures in the home as tested by a third-party rater.  Points achieved to earn a certification in the GreenVerificationRating field do not apply to this field.  HERS Index is most common with new homes and runs with a lower number being more efficient. A net-zero home uses zero energy and has a HERS score of 0.  A home that produces more energy than it uses has a negative score.  Home Energy Score is a tool more common for existing homes and runs with a higher number being more efficient.   It takes square footage into account and caps with 10 as the highest number of points.,Propertygreenverification
GreenVerificationRating,GreenVerificationRating,"Many verifications or certifications have a rating system that provides an indication of the structure's level of energy efficiency.  When expressed in a numeric value, please use the GreenVerificationMetric field. Verifications and Certifications can also be a name, such as Gold or Silver, which is the purpose of this field.",Propertygreenverification
GreenVerificationSource,GreenVerificationSource,"The source of the green data. May address photovoltaic characteristics, or a verified score, certification, label, etc. This may be a pick list of options showing the source. i.e. Program Sponsor, Program Verifier, Public Record, Assessor,  etc.",Propertygreenverification
GreenVerificationStatus,GreenVerificationStatus,"Many verification programs include a multi-step process that may begin with plans and specs, involve testing and/or submission of building specifications along the way and include a final verification step. When ratings are involved it is not uncommon for the final rating to be either higher or lower than the target preliminary rating. Sometimes the final approval is not available until after sale and occupancy. Status indicates what the target was at the time of listing and may be updated when verification is complete. To limit liability concerns this field reflects information that was available at the time of listing or updated later and should be confirmed by the buyer.",Propertygreenverification
GreenVerificationURL,GreenVerificationURL,"Provides a link to the specific property&#8217;s high-performance rating or scoring details directly from and hosted by the sponsoring body of the program.   Typically provides thorough details, for example, which points where achieved and how, or in the case of a score what specifically was tested and the results.",Propertygreenverification
GreenVerificationVersion,GreenVerificationVersion,"The version of the certification or verification that was awarded.  Some rating programs have a year, a version, or possibly both.",Propertygreenverification
GreenVerificationYear,GreenVerificationYear,The year the certification or verification was awarded.,Propertygreenverification
ITSO_InputEntryOrder,InputEntryOrder,Input Entry Order,Propertygreenverification
ITSO_IsDeleted,IsDeleted,Is Deleted,Propertygreenverification
ListingKeyNumeric,ListingKeyNumeric,"This is the foreign key relating to the property resource. A unique identifier for this record from the immediate source. This is the numeric only key and used as an alternative to the ListingKey fields.  This is the local key of the system.  When records are received from other systems, a local key is commonly applied.  If conveying the original keys from the source or originating systems, see SourceSystemKey and OriginatingSystemKey.",Propertygreenverification
ModificationTimestamp,ModificationTimestamp,Date/time this record was last modified.,Propertygreenverification
BridgeModificationTimestamp,,A timestamp representing when last this record was modified,Propertycommercialdoors
ITSO_ClearanceHeight,ClearanceHeight,Clearance Height,Propertycommercialdoors
ITSO_CommercialDoorsDoorHeight,CommercialDoorsDoorHeight,Commercial Doors Door Height,Propertycommercialdoors
ITSO_CommercialDoorsDoorLength,CommercialDoorsDoorLength,Commercial Doors Door Length,Propertycommercialdoors
ITSO_CommercialDoorsDoorType,CommercialDoorsDoorType,Commercial Doors Door Type,Propertycommercialdoors
ITSO_CommercialDoorsDoorWidth,CommercialDoorsDoorWidth,Commercial Doors Door Width,Propertycommercialdoors
ITSO_CommercialDoorsKeyNumeric,CommercialDoorsKeyNumeric,Commercial Doors Key Numeric,Propertycommercialdoors
ITSO_CommercialDoorsNumberOfShippingDoors,CommercialDoorsNumberOfShippingDoors,Commercial Doors Number Of Shipp,Propertycommercialdoors
ITSO_InputEntryOrder,InputEntryOrder,Input Entry Order,Propertycommercialdoors
ITSO_IsDeleted,IsDeleted,Is Deleted,Propertycommercialdoors
ITSO_ListingKeyNumeric,ListingKeyNumeric,Listing Key Numeric,Propertycommercialdoors
ITSO_MatrixTesting,MatrixTesting,Matrix Testing,Propertycommercialdoors
ITSO_ModificationTimestamp,ModificationTimestamp,Modification Timestamp,Propertycommercialdoors
ITSO_OriginatingSystemCommercialDoorsKey,OriginatingSystemCommercialDoorsKey,Originating System Commercial Do,Propertycommercialdoors
ITSO_OriginatingSystemTimestamp,OriginatingSystemTimestamp,Originating System Timestamp,Propertycommercialdoors
PropertyCommercialDoorsKey,CommercialDoorsKeyNumeric,Property Commerial Doors Primary Key,Propertycommercialdoors
BridgeModificationTimestamp,,A timestamp representing when last this record was modified,Propertyauxiliarybuilding
ITSO_AuxiliaryBuildingBathsTotal,AuxiliaryBuildingBathsTotal,Auxiliary Building Baths Total,Propertyauxiliarybuilding
ITSO_AuxiliaryBuildingBedsTotal,AuxiliaryBuildingBedsTotal,Auxiliary Building Beds Total,Propertyauxiliarybuilding
ITSO_AuxiliaryBuildingBuildingType,AuxiliaryBuildingBuildingType,Auxiliary Building Building Type,Propertyauxiliarybuilding
ITSO_AuxiliaryBuildingKeyNumeric,AuxiliaryBuildingKeyNumeric,Auxiliary Building Key Numeric,Propertyauxiliarybuilding
ITSO_AuxiliaryBuildingNumberOfKitchens,AuxiliaryBuildingNumberOfKitchens,Auxiliary Building Number Of Kit,Propertyauxiliarybuilding
ITSO_AuxiliaryBuildingWinterized,AuxiliaryBuildingWinterized,Auxiliary Building Winterized,Propertyauxiliarybuilding
ITSO_InputEntryOrder,InputEntryOrder,Input Entry Order,Propertyauxiliarybuilding
ITSO_IsDeleted,IsDeleted,Is Deleted,Propertyauxiliarybuilding
ITSO_ListingKeyNumeric,ListingKeyNumeric,Listing Key Numeric,Propertyauxiliarybuilding
