"DD Field","Source Field","Field Description","Selected","Resource"
"RAHB_AcresWorkable","Listing: AcresWorkable","Acres Workable","Yes","Property"
"RAHB_ActiveOpenHouseCount","Listing: ActiveOpenHouseCount","Active Open House Count","Yes","Property"
"RAHB_AdditionalImagesURL","Listing: AdditionalImagesURL","Additional Images URL","Yes","Property"
"RAHB_AdditionalMonthlyFees","Listing: AdditionalMonthlyFees","Additional Monthly Fees","Yes","Property"
"RAHB_AdditionalResidence","Listing: AdditionalResidence","Additional Residence","Yes","Property"
"RAHB_AdministrativeFee","Listing: AdministrativeFee","Administrative Fee","Yes","Property"
"RAHB_AlternateFeatureSheetURL","Listing: AlternateFeatureSheetURL","Alternate Feature Sheet URL","Yes","Property"
"RAHB_AlternateMLSNumber","Listing: AlternateMLSNumber","Alternate MLS Number","No","Property"
"RAHB_Appointments","Listing: Appointments","Appointments","Yes","Property"
"RAHB_AssessmentRollNumber","Listing: AssessmentRollNumber","Assessment Roll Number","Yes","Property"
"RAHB_AssessmentYear","Listing: AssessmentYear","Assessment Year","Yes","Property"
"RAHB_BathsTotal","Listing: BathsTotal","Baths Total","Yes","Property"
"RAHB_BaySizeLength","Listing: BaySizeLength","Bay Size Length","Yes","Property"
"RAHB_BaySizeWidth","Listing: BaySizeWidth","Bay Size Width","Yes","Property"
"RAHB_BedsAboveGrade","Listing: BedsAboveGrade","Beds Above Grade","Yes","Property"
"RAHB_BedsBelowGrade","Listing: BedsBelowGrade","Beds Below Grade","Yes","Property"
"RAHB_BillingYN","Listing: BillingYN","Billing YN","No","Property"
"RAHB_BrokerageTrustAccountYN","Listing: BrokerageTrustAccountYN","Brokerage Trust Account YN","Yes","Property"
"RAHB_BuildingPercentage","Listing: BuildingPercentage","Building Percentage","Yes","Property"
"RAHB_BuyOptionYN","Listing: BuyOptionYN","Buy Option YN","Yes","Property"
"RAHB_BuyerPostalCode","Listing: BuyerPostalCode","Buyer Postal Code","No","Property"
"RAHB_CDOM_ChangeNotes","Listing: CDOM_ChangeNotes","CDOM Change Notes","No","Property"
"RAHB_CDOM_Initial","Listing: CDOM_Initial","CDOM Initial","No","Property"
"RAHB_CDOM_Seed_APN_Match","Listing: CDOM_Seed_APN_Match","CDOM Seed APN Match","No","Property"
"RAHB_CDOM_Seed_Address_Match","Listing: CDOM_Seed_Address_Match","CDOM Seed Address Match","No","Property"
"RAHB_CDOM_Seed_Datetime","Listing: CDOM_Seed_Datetime","CDOM Seed Datetime","No","Property"
"RAHB_CDOM_Seed_Listing_MUI","Listing: CDOM_Seed_Listing_MUI","CDOM Seed Listing MUI","No","Property"
"RAHB_ChattelsYN","Listing: ChattelsYN","Chattels YN","Yes","Property"
"RAHB_ClearanceHeight","Listing: ClearanceHeight","Clearance Height","Yes","Property"
"RAHB_CoBuyerTeamName","Listing: CoBuyerTeamName","Co Buyer Team Name","Yes","Property"
"RAHB_CoLIstAgent3_MUI","Listing: CoLIstAgent3_MUI","Co L Ist Agent 3 MUI","Yes","Property"
"RAHB_CoListAgent2Board","Listing: CoListAgent2Board","Co List Agent 2 Board","No","Property"
"RAHB_CoListAgent2CREAID","Listing: CoListAgent2CREAID","Co List Agent 2 CREAID","No","Property"
"RAHB_CoListAgent2DirectWorkPhone","Listing: CoListAgent2DirectWorkPhone","Co List Agent 2 Direct Work Phon","No","Property"
"RAHB_CoListAgent2Email","Listing: CoListAgent2Email","Co List Agent 2 Email","No","Property"
"RAHB_CoListAgent2FullName","Listing: CoListAgent2FullName","Co List Agent 2 Full Name","No","Property"
"RAHB_CoListAgent2MLSID","Listing: CoListAgent2MLSID","Co List Agent 2 MLSID","No","Property"
"RAHB_CoListAgent2_MUI","Listing: CoListAgent2_MUI","Co List Agent 2 MUI","No","Property"
"RAHB_CoListAgent3Board","Listing: CoListAgent3Board","Co List Agent 3 Board","Yes","Property"
"RAHB_CoListAgent3CREAID","Listing: CoListAgent3CREAID","Co List Agent 3 CREAID","No","Property"
"RAHB_CoListAgent3DirectWorkPhone","Listing: CoListAgent3DirectWorkPhone","Co List Agent 3 Direct Work Phon","Yes","Property"
"RAHB_CoListAgent3Email","Listing: CoListAgent3Email","Co List Agent 3 Email","Yes","Property"
"RAHB_CoListAgent3FullName","Listing: CoListAgent3FullName","Co List Agent 3 Full Name","Yes","Property"
"RAHB_CoListAgent3MLSID","Listing: CoListAgent3MLSID","Co List Agent 3 MLSID","Yes","Property"
"RAHB_CoListAgentCREAID","Listing: CoListAgentCREAID","Co List Agent CREAID","No","Property"
"RAHB_CoListOffice2CREAID","Listing: CoListOffice2CREAID","Co List Office 2 CREAID","No","Property"
"RAHB_CoListOffice2FaxPhone","Listing: CoListOffice2FaxPhone","Co List Office 2 Fax Phone","No","Property"
"RAHB_CoListOffice2MLSID","Listing: CoListOffice2MLSID","Co List Office 2 MLSID","No","Property"
"RAHB_CoListOffice2Name","Listing: CoListOffice2Name","Co List Office 2 Name","No","Property"
"RAHB_CoListOffice2Phone","Listing: CoListOffice2Phone","Co List Office 2 Phone","No","Property"
"RAHB_CoListOffice2_MUI","Listing: CoListOffice2_MUI","Co List Office 2 MUI","No","Property"
"RAHB_CoListOffice3CREAID","Listing: CoListOffice3CREAID","Co List Office 3 CREAID","No","Property"
"RAHB_CoListOffice3FaxPhone","Listing: CoListOffice3FaxPhone","Co List Office 3 Fax Phone","No","Property"
"RAHB_CoListOffice3MLSID","Listing: CoListOffice3MLSID","Co List Office 3 MLSID","No","Property"
"RAHB_CoListOffice3Name","Listing: CoListOffice3Name","Co List Office 3 Name","No","Property"
"RAHB_CoListOffice3Phone","Listing: CoListOffice3Phone","Co List Office 3 Phone","No","Property"
"RAHB_CoListOffice3_MUI","Listing: CoListOffice3_MUI","Co List Office 3 MUI","No","Property"
"RAHB_CoListOfficeCREAID","Listing: CoListOfficeCREAID","Co List Office CREAID","No","Property"
"RAHB_CoListTeamKey","Listing: CoListTeamKey","Co List Team Key","No","Property"
"RAHB_CoListTeamKeyNumeric","Listing: CoListTeamKeyNumeric","Co List Team Key Numeric","No","Property"
"RAHB_CoListTeamName","Listing: CoListTeamName","Co List Team Name","No","Property"
"RAHB_CoSellingAgent2Board","Listing: CoSellingAgent2Board","Co Selling Agent 2 Board","No","Property"
"RAHB_CoSellingAgent2CREAID","Listing: CoSellingAgent2CREAID","Co Selling Agent 2 CREAID","No","Property"
"RAHB_CoSellingAgent2DirectWorkPhone","Listing: CoSellingAgent2DirectWorkPhone","Co Selling Agent 2 Direct Work P","No","Property"
"RAHB_CoSellingAgent2Email","Listing: CoSellingAgent2Email","Co Selling Agent 2 Email","No","Property"
"RAHB_CoSellingAgent2FullName","Listing: CoSellingAgent2FullName","Co Selling Agent 2 Full Name","No","Property"
"RAHB_CoSellingAgent2MLSID","Listing: CoSellingAgent2MLSID","Co Selling Agent 2 MLSID","No","Property"
"RAHB_CoSellingAgent2_MUI","Listing: CoSellingAgent2_MUI","Co Selling Agent 2 MUI","No","Property"
"RAHB_CoSellingAgent3Board","Listing: CoSellingAgent3Board","Co Selling Agent 3 Board","No","Property"
"RAHB_CoSellingAgent3CREAID","Listing: CoSellingAgent3CREAID","Co Selling Agent 3 CREAID","No","Property"
"RAHB_CoSellingAgent3DirectWorkPhone","Listing: CoSellingAgent3DirectWorkPhone","Co Selling Agent 3 Direct Work P","No","Property"
"RAHB_CoSellingAgent3Email","Listing: CoSellingAgent3Email","Co Selling Agent 3 Email","No","Property"
"RAHB_CoSellingAgent3FullName","Listing: CoSellingAgent3FullName","Co Selling Agent 3 Full Name","No","Property"
"RAHB_CoSellingAgent3MLSID","Listing: CoSellingAgent3MLSID","Co Selling Agent 3 MLSID","No","Property"
"RAHB_CoSellingAgent3_MUI","Listing: CoSellingAgent3_MUI","Co Selling Agent 3 MUI","No","Property"
"RAHB_CoSellingAgentCREAID","Listing: CoSellingAgentCREAID","Co Selling Agent CREAID","No","Property"
"RAHB_CoSellingOffice2CREAID","Listing: CoSellingOffice2CREAID","Co Selling Office 2 CREAID","No","Property"
"RAHB_CoSellingOffice2MLSID","Listing: CoSellingOffice2MLSID","Co Selling Office 2 MLSID","No","Property"
"RAHB_CoSellingOffice2Name","Listing: CoSellingOffice2Name","Co Selling Office 2 Name","No","Property"
"RAHB_CoSellingOffice2Phone","Listing: CoSellingOffice2Phone","Co Selling Office 2 Phone","No","Property"
"RAHB_CoSellingOffice2_MUI","Listing: CoSellingOffice2_MUI","Co Selling Office 2 MUI","No","Property"
"RAHB_CoSellingOffice3CREAID","Listing: CoSellingOffice3CREAID","Co Selling Office 3 CREAID","No","Property"
"RAHB_CoSellingOffice3MLSID","Listing: CoSellingOffice3MLSID","Co Selling Office 3 MLSID","No","Property"
"RAHB_CoSellingOffice3Name","Listing: CoSellingOffice3Name","Co Selling Office 3 Name","No","Property"
"RAHB_CoSellingOffice3Phone","Listing: CoSellingOffice3Phone","Co Selling Office 3 Phone","No","Property"
"RAHB_CoSellingOffice3_MUI","Listing: CoSellingOffice3_MUI","Co Selling Office 3 MUI","No","Property"
"RAHB_CoSellingOfficeCREAID","Listing: CoSellingOfficeCREAID","Co Selling Office CREAID","No","Property"
"RAHB_CommentsStaff","Listing: CommentsStaff","Comments Staff","No","Property"
"RAHB_Commission","Listing: Commission","Commission","Yes","Property"
"RAHB_CommonAreaUpcharge","Listing: CommonAreaUpcharge","Common Area Upcharge","Yes","Property"
"RAHB_CommonElementsFeeYN","Listing: CommonElementsFeeYN","Common Elements Fee YN","Yes","Property"
"RAHB_ConditionsOfSale","Listing: ConditionsOfSale","Conditions Of Sale","Yes","Property"
"RAHB_CondoCorpNumber","Listing: CondoCorpNumber","Condo Corp Number","Yes","Property"
"RAHB_CondoFeeRemarks","Listing: CondoFeeRemarks","Condo Fee Remarks","Yes","Property"
"RAHB_ContactAfterExpiredYN","Listing: ContactAfterExpiredYN","Contact After Expired YN","No","Property"
"RAHB_CorrectionCount","Listing: CorrectionCount","Correction Count","No","Property"
"RAHB_CreditCheckYN","Listing: CreditCheckYN","Credit Check YN","Yes","Property"
"RAHB_Deposit","Listing: Deposit","Deposit","Yes","Property"
"RAHB_DepositRequiredYN","Listing: DepositRequiredYN","Deposit Required YN","Yes","Property"
"RAHB_DevelopmentChargesPaid","Listing: DevelopmentChargesPaid","Development Charges Paid","Yes","Property"
"RAHB_DisplayMLSOnlyYN","Listing: DisplayMLSOnlyYN","Display MLS Only YN","No","Property"
"RAHB_DisplayOnDDFYN","Listing: DisplayOnDDFYN","Display On DDFYN","No","Property"
"RAHB_DisplayonREALTORcaYN","Listing: DisplayonREALTORcaYN","Displayon REALTO Rca YN","No","Property"
"RAHB_DocumentManagerMLSCount","Listing: DocumentManagerMLSCount","Document Manager MLS Count","No","Property"
"RAHB_DocumentManagerPrivateCount","Listing: DocumentManagerPrivateCount","Document Manager Private Count","No","Property"
"RAHB_DocumentManagerPublicCount","Listing: DocumentManagerPublicCount","Document Manager Public Count","No","Property"
"RAHB_DocumentManagerTotalCount","Listing: DocumentManagerTotalCount","Document Manager Total Count","No","Property"
"RAHB_DomModifier_DateTime","Listing: DomModifier_DateTime","Dom Modifier Date Time","No","Property"
"RAHB_DomModifier_Initial","Listing: DomModifier_Initial","Dom Modifier Initial","No","Property"
"RAHB_DomModifier_StatusRValue","Listing: DomModifier_StatusRValue","Dom Modifier Status R Value","No","Property"
"RAHB_EmploymentLetterYN","Listing: EmploymentLetterYN","Employment Letter YN","Yes","Property"
"RAHB_EnergyCertificationLevelYN","Listing: EnergyCertificationLevelYN","Energy Certification Level YN","Yes","Property"
"RAHB_EnteredBy","Listing: EnteredBy","Entered By","No","Property"
"RAHB_EstimatedInventoryValue","Listing: EstimatedInventoryValue","Estimated Inventory Value","Yes","Property"
"RAHB_ExcludeFromInventoryStats","Listing: ExcludeFromInventoryStats","Exclude From Inventory Stats","No","Property"
"RAHB_Expenses","Listing: Expenses","Expenses","Yes","Property"
"RAHB_Exposure","Listing: Exposure","Exposure","Yes","Property"
"RAHB_FinancialInformationForYearEnding","Listing: FinancialInformationForYearEnding","Financial Information For Year E","Yes","Property"
"RAHB_FinancialInformationIs","Listing: FinancialInformationIs","Financial Information Is","Yes","Property"
"RAHB_FinancialStatementYN","Listing: FinancialStatementYN","Financial Statement YN","Yes","Property"
"RAHB_FranchiseYN","Listing: FranchiseYN","Franchise YN","Yes","Property"
"RAHB_GeocodeConfidence","Listing: GeocodeConfidence","Geocode Confidence","No","Property"
"RAHB_GeocodeSource","Listing: GeocodeSource","Geocode Source","No","Property"
"RAHB_GreenPropertyInformationStatementYN","Listing: GreenPropertyInformationStatementYN","Green Property Information State","Yes","Property"
"RAHB_HSTApplicableToSalePrice","Listing: HSTApplicableToSalePrice","HST Applicable To Sale Price","Yes","Property"
"RAHB_HoldoverDays","Listing: HoldoverDays","Holdover Days","Yes","Property"
"RAHB_HydroExpense","Listing: HydroExpense","Hydro Expense","Yes","Property"
"RAHB_IDXAddress","Listing: IDXAddress","IDX Address","No","Property"
"RAHB_IDXPrice","Listing: IDXPrice","IDX Price","No","Property"
"RAHB_IncludedInCosts","Listing: IncludedInCosts","Included In Costs","Yes","Property"
"RAHB_IncomePotentialYN","Listing: IncomePotentialYN","Income Potential YN","Yes","Property"
"RAHB_IndustrialArea","Listing: IndustrialArea","Industrial Area","Yes","Property"
"RAHB_IndustrialAreaCode","Listing: IndustrialAreaCode","Industrial Area Code","Yes","Property"
"RAHB_Input_Warning","Listing: Input_Warning","Input Warning","No","Property"
"RAHB_Input_Warning_Override","Listing: Input_Warning_Override","Input Warning Override","No","Property"
"RAHB_InterBoardMLSNumbers","Listing: InterBoardMLSNumbers","Inter Board MLS Numbers","No","Property"
"RAHB_IsDeleted","Listing: IsDeleted","Is Deleted","No","Property"
"RAHB_LLBOYN","Listing: LLBOYN","LLBOYN","Yes","Property"
"RAHB_LastHumanModificationTimestamp","Listing: LastHumanModificationTimestamp","Last Human Modification Timestam","No","Property"
"RAHB_LastStatus","Listing: LastStatus","Last Status","Yes","Property"
"RAHB_LaundryRentals","Listing: LaundryRentals","Laundry Rentals","Yes","Property"
"RAHB_LeaseAgreementYN","Listing: LeaseAgreementYN","Lease Agreement YN","Yes","Property"
"RAHB_LeasesYN","Listing: LeasesYN","Leases YN","Yes","Property"
"RAHB_ListAgentCREAID","Listing: ListAgentCREAID","List Agent CREAID","No","Property"
"RAHB_ListOfficeCREAID","Listing: ListOfficeCREAID","List Office CREAID","No","Property"
"RAHB_Locker","Listing: Locker","Locker","Yes","Property"
"RAHB_LockerNumber","Listing: LockerNumber","Locker Number","Yes","Property"
"RAHB_LotBuildingUnitCode","Listing: LotBuildingUnitCode","Lot Building Unit Code","Yes","Property"
"RAHB_LotIrregularities","Listing: LotIrregularities","Lot Irregularities","Yes","Property"
"RAHB_LotSizeCode","Listing: LotSizeCode","Lot Size Code","Yes","Property"
"RAHB_MapServiceURL","Listing: MapServiceURL","Map Service URL","No","Property"
"RAHB_MarketingQuotaIncludedYN","Listing: MarketingQuotaIncludedYN","Marketing Quota Included YN","Yes","Property"
"RAHB_MatrixTesting","Listing: MatrixTesting","Matrix Testing","No","Property"
"RAHB_MaxRentalTerm","Listing: MaxRentalTerm","Max Rental Term","Yes","Property"
"RAHB_MinRentalTerm","Listing: MinRentalTerm","Min Rental Term","Yes","Property"
"RAHB_MobileHomeYear","Listing: MobileHomeYear","Mobile Home Year","Yes","Property"
"RAHB_MobileLotFees","Listing: MobileLotFees","Mobile Lot Fees","Yes","Property"
"RAHB_MortgageComments","Listing: MortgageComments","Mortgage Comments","Yes","Property"
"RAHB_NetIncome","Listing: NetIncome","Net Income","Yes","Property"
"RAHB_Number1BedroomUnits","Listing: Number1BedroomUnits","Number 1 Bedroom Units","Yes","Property"
"RAHB_Number2BedroomUnits","Listing: Number2BedroomUnits","Number 2 Bedroom Units","Yes","Property"
"RAHB_Number2PieceBathrooms","Listing: Number2PieceBathrooms","Number 2 Piece Bathrooms","Yes","Property"
"RAHB_Number3BedroomUnits","Listing: Number3BedroomUnits","Number 3 Bedroom Units","Yes","Property"
"RAHB_Number3PieceBathrooms","Listing: Number3PieceBathrooms","Number 3 Piece Bathrooms","Yes","Property"
"RAHB_Number4BedroomUnits","Listing: Number4BedroomUnits","Number 4 Bedroom Units","Yes","Property"
"RAHB_Number4PieceBathrooms","Listing: Number4PieceBathrooms","Number 4 Piece Bathrooms","Yes","Property"
"RAHB_Number5BedroomUnits","Listing: Number5BedroomUnits","Number 5 Bedroom Units","Yes","Property"
"RAHB_Number5PlusPieceBathrooms","Listing: Number5PlusPieceBathrooms","Number 5 Plus Piece Bathrooms","Yes","Property"
"RAHB_Number6PlusBedroomUnits","Listing: Number6PlusBedroomUnits","Number 6 Plus Bedroom Units","Yes","Property"
"RAHB_NumberDishwashers","Listing: NumberDishwashers","Number Dishwashers","Yes","Property"
"RAHB_NumberDryers","Listing: NumberDryers","Number Dryers","Yes","Property"
"RAHB_NumberEnsuites","Listing: NumberEnsuites","Number Ensuites","Yes","Property"
"RAHB_NumberOccupiedUnits","Listing: NumberOccupiedUnits","Number Occupied Units","Yes","Property"
"RAHB_NumberRefrigerators","Listing: NumberRefrigerators","Number Refrigerators","Yes","Property"
"RAHB_NumberRoomsAboveGrade","Listing: NumberRoomsAboveGrade","Number Rooms Above Grade","Yes","Property"
"RAHB_NumberRoomsBelowGrade","Listing: NumberRoomsBelowGrade","Number Rooms Below Grade","Yes","Property"
"RAHB_NumberShares","Listing: NumberShares","Number Shares","Yes","Property"
"RAHB_NumberStoves","Listing: NumberStoves","Number Stoves","Yes","Property"
"RAHB_NumberWashers","Listing: NumberWashers","Number Washers","Yes","Property"
"RAHB_OfferInstructions","Listing: OfferInstructions","Offer Instructions","Yes","Property"
"RAHB_OfficeApartmentArea","Listing: OfficeApartmentArea","Office Apartment Area","Yes","Property"
"RAHB_OfficeApartmentAreaCode","Listing: OfficeApartmentAreaCode","Office Apartment Area Code","Yes","Property"
"RAHB_OpenHouseCount","Listing: OpenHouseCount","Open House Count","Yes","Property"
"RAHB_OpenHousePublicCount","Listing: OpenHousePublicCount","Open House Public Count","Yes","Property"
"RAHB_OpenHousePublicUpcoming","Listing: OpenHousePublicUpcoming","Open House Public Upcoming","Yes","Property"
"RAHB_OpenHouseUpcoming","Listing: OpenHouseUpcoming","Open House Upcoming","Yes","Property"
"RAHB_OriginalEntryTimestamp","Listing: OriginalEntryTimestamp","Original Entry Timestamp","No","Property"
"RAHB_OtherIncome","Listing: OtherIncome","Other Income","Yes","Property"
"RAHB_ParkingCost","Listing: ParkingCost","Parking Cost","Yes","Property"
"RAHB_ParkingType","Listing: ParkingType","Parking Type","Yes","Property"
"RAHB_PaymentFrequency","Listing: PaymentFrequency","Payment Frequency","Yes","Property"
"RAHB_PaymentMethod","Listing: PaymentMethod","Payment Method","Yes","Property"
"RAHB_PercentUsable","Listing: PercentUsable","Percent Usable","Yes","Property"
"RAHB_PercentageRent","Listing: PercentageRent","Percentage Rent","Yes","Property"
"RAHB_PhotoInstructions","Listing: PhotoInstructions","Photo Instructions","No","Property"
"RAHB_PhotoTakeInstructions","Listing: PhotoTakeInstructions","Photo Take Instructions","No","Property"
"RAHB_PoolFeatures","Listing: PoolFeatures","Pool Features","No","Property"
"RAHB_PossessionDate","Listing: PossessionDate","Possession Date","Yes","Property"
"RAHB_PricePerAcre","Listing: PricePerAcre","Price Per Acre","Yes","Property"
"RAHB_ProfitLossProformaYN","Listing: ProfitLossProformaYN","Profit Loss Proforma YN","Yes","Property"
"RAHB_PropertyManagementCompany","Listing: PropertyManagementCompany","Property Management Company","Yes","Property"
"RAHB_PropertyManagementContact","Listing: PropertyManagementContact","Property Management Contact","Yes","Property"
"RAHB_PropertyManagementPhone","Listing: PropertyManagementPhone","Property Management Phone","Yes","Property"
"RAHB_PropertyPanoramaYN","Listing: PropertyPanoramaYN","Property Panorama YN","No","Property"
"RAHB_ProviderKey","Listing: ProviderKey","Provider Key","No","Property"
"RAHB_ProviderModificationTimestamp","Listing: ProviderModificationTimestamp","Provider Modification Timestamp","No","Property"
"RAHB_QuotaDescription","Listing: QuotaDescription","Quota Description","Yes","Property"
"RAHB_RATIO_ClosePrice_By_ListPrice","Listing: RATIO_ClosePrice_By_ListPrice","RATIO Close Price By List Price","No","Property"
"RAHB_RATIO_ClosePrice_By_OriginalListPrice","Listing: RATIO_ClosePrice_By_OriginalListPrice","RATIO Close Price By Original Li","No","Property"
"RAHB_RATIO_ClosePrice_By_SQFT","Listing: RATIO_ClosePrice_By_SQFT","RATIO Close Price By SQFT","No","Property"
"RAHB_RATIO_CurrentPrice_By_SQFT","Listing: RATIO_CurrentPrice_By_SQFT","RATIO Current Price By SQFT","No","Property"
"RAHB_RATIO_ListPrice_By_OriginalListPrice","Listing: RATIO_ListPrice_By_OriginalListPrice","RATIO List Price By Original Lis","No","Property"
"RAHB_RATIO_ListPrice_By_SQFT","Listing: RATIO_ListPrice_By_SQFT","RATIO List Price By SQFT","No","Property"
"RAHB_Rail","Listing: Rail","Rail","Yes","Property"
"RAHB_RecreationalUseYN","Listing: RecreationalUseYN","Recreational Use YN","Yes","Property"
"RAHB_ReferencesRequiredYN","Listing: ReferencesRequiredYN","References Required YN","Yes","Property"
"RAHB_RemainingTermsOfLease","Listing: RemainingTermsOfLease","Remaining Terms Of Lease","Yes","Property"
"RAHB_RentRegistered","Listing: RentRegistered","Rent Registered","Yes","Property"
"RAHB_RentalApplicationRequiredYN","Listing: RentalApplicationRequiredYN","Rental Application Required YN","Yes","Property"
"RAHB_RentedEquipment","Listing: RentedEquipment","Rented Equipment","Yes","Property"
"RAHB_RetailArea","Listing: RetailArea","Retail Area","Yes","Property"
"RAHB_RetailAreaCode","Listing: RetailAreaCode","Retail Area Code","Yes","Property"
"RAHB_SPISWWASYN","Listing: SPISWWASYN","SPISWWASYN","Yes","Property"
"RAHB_SaleComments","Listing: SaleComments","Sale Comments","No","Property"
"RAHB_SalesBrochureURL","Listing: SalesBrochureURL","Sales Brochure URL","Yes","Property"
"RAHB_SellerListBrokerSpecialAgreementYN","Listing: SellerListBrokerSpecialAgreementYN","Seller List Broker Special Agree","Yes","Property"
"RAHB_SellerPropertyInformationStatementYN","Listing: SellerPropertyInformationStatementYN","Seller Property Information Stat","Yes","Property"
"RAHB_SellingAgentCREAID","Listing: SellingAgentCREAID","Selling Agent CREAID","No","Property"
"RAHB_SellingOfficeCREAID","Listing: SellingOfficeCREAID","Selling Office CREAID","No","Property"
"RAHB_SendTo3rdPartySitesYN","Listing: SendTo3rdPartySitesYN","Send To 3 Rd Party Sites YN","No","Property"
"RAHB_ShowingTimeFlagYN","Listing: ShowingTimeFlagYN","Showing Time Flag YN","No","Property"
"RAHB_SoilTest","Listing: SoilTest","Soil Test","Yes","Property"
"RAHB_SoilType","Listing: SoilType","Soil Type","Yes","Property"
"RAHB_SpecialDesignation","Listing: SpecialDesignation","Special Designation","Yes","Property"
"RAHB_StatusCertificate","Listing: StatusCertificate","Status Certificate","Yes","Property"
"RAHB_StatusContractualSearchDate","Listing: StatusContractualSearchDate","Status Contractual Search Date","Yes","Property"
"RAHB_StreetNumberLow","Listing: StreetNumberLow","Street Number Low","Yes","Property"
"RAHB_StreetViewParam","Listing: StreetViewParam","Street View Param","Yes","Property"
"RAHB_SuppressSalesPriceYN","Listing: SuppressSalesPriceYN","Suppress Sales Price YN","No","Property"
"RAHB_Survey","Listing: Survey","Survey","Yes","Property"
"RAHB_SurveyYear","Listing: SurveyYear","Survey Year","Yes","Property"
"RAHB_SuspendedResumeDate","Listing: SuspendedResumeDate","Suspended Resume Date","No","Property"
"RAHB_TMIExpenses","Listing: TMIExpenses","TMI Expenses","Yes","Property"
"RAHB_TempOffMarketDate","Listing: TempOffMarketDate","Temp Off Market Date","No","Property"
"RAHB_TileLoansExpense","Listing: TileLoansExpense","Tile Loans Expense","Yes","Property"
"RAHB_TileLoansExpiryDate","Listing: TileLoansExpiryDate","Tile Loans Expiry Date","Yes","Property"
"RAHB_TotalAreaCode","Listing: TotalAreaCode","Total Area Code","Yes","Property"
"RAHB_TrailerParkingSpots","Listing: TrailerParkingSpots","Trailer Parking Spots","Yes","Property"
"RAHB_TransactionType","Listing: TransactionType","Transaction Type","Yes","Property"
"RAHB_TypeTaxes","Listing: TypeTaxes","Type Taxes","No","Property"
"RAHB_UFFI","Listing: UFFI","UFFI","Yes","Property"
"RAHB_UnderContract","Listing: UnderContract","Under Contract","Yes","Property"
"RAHB_UseCurrentMultiRes","Listing: UseCurrentMultiRes","Use Current Multi Res","Yes","Property"
"RAHB_VisitAble","Listing: VisitAble","Visit Able","Yes","Property"
"RAHB_Washrooms","Listing: Washrooms","Washrooms","Yes","Property"
"RAHB_WellCapacity","Listing: WellCapacity","Well Capacity","Yes","Property"
"RAHB_WellDepth","Listing: WellDepth","Well Depth","Yes","Property"
"RAHB_WellTesting","Listing: WellTesting","Well Testing","Yes","Property"
"RAHB_YearExpenses","Listing: YearExpenses","Year Expenses","Yes","Property"
"RAHB_YearRoofReplaced","Listing: YearRoofReplaced","Year Roof Replaced","Yes","Property"
"RVParkingDimensions","","The dimensions of the RV parking area minimally represented as length and width (i.e. 25 x 18) or a measurement of all sides of the polygon representing the usable RV parking space.  i.e. 33 x 15 x 12 x 60.","No","Property"
"RangeArea","","Measurement or percentage of the property that has been allocated as range.","No","Property"
"RentControlYN","","Is the property in a rent control area?","No","Property"
"RentIncludes","","A list of services or items that the tenant is not responsible to pay.","No","Property"
"RoadFrontageType","CondoAmenities","Pick list of types of Road frontage.  i.e. Freeway frontage, No Road Frontage, etc. The road frontage of the property is an important factor in determining value of the property and it’s appropriateness for intended use.","Yes","Property"
"RoadResponsibility","","The person or entity responsible for road maintenance (e.g., City, County, Private).","No","Property"
"RoadSurfaceType","ParkingDrive","Pick list of types of surface of the Road to access the property.  The surface of the road(s) for access to the property is an important factor in determining value of the property and it’s appropriateness for intended use.","Yes","Property"
"Roof","RoofType","A list describing the type or style of roof.  For example Spanish Tile, Composite, Shake, etc.","Yes","Property"
"RoomKitchenDescription","KitchensAboveGrade, KitchensBelowGrade, KitchensTotal","Provides a link to the specific property’s high-performance rating or scoring details directly from and hosted by the sponsoring body of the program.   Typically provides thorough details, for example, which points where achieved and how, or in the case of a score what specifically was tested and the results. This is a repeating element.  If desired replace [Type] with the name of the certification from the GreenBuildingVerificationType list.","Yes","Property"
"RoomType",,"This field is a list of the types used in the rooms repeating elements.  The Type is a list of possible room types.  i.e. Bedroom, Bathroom, Living Room, Workshop, etc.  Each selected are expected to appear as the ""[type]"" in the related rooms fields in a flattened implementation (RETS 1.x only) of the room fields.  A relational implementation of rooms must omit the type from the field name and use RoomType to create a vertical representation of the various rooms.  **Note that Garage or Basement should not be added as a room type and are represented by the ParkingFeatures and Basement fields respectively.","No","Property"
"RoomsTotal","NumberRooms, RoomCount","The number of rooms in the dwelling.","Yes","Property"
"SeatingCapacity","Seats","The seating capacity of the business being sold.","Yes","Property"
"SecurityFeatures","CondoAmenities, FeaturesInterior, FireProtection","A list describing the security features included in the sale/lease.","Yes","Property"
"SeniorCommunityYN","RetirementCommunityYN","The community is a senior community.","Yes","Property"
"SerialU","MobileSerialNumber","Serial number of the mobile or manufactured home.  For the first or only unit/section use Serial U over Serial X or Serial XX.","Yes","Property"
"SerialX","","Serial number of the mobile or manufactured home.  For two units/sections, Serial U should be used first, Serial X second over or Serial XX.","No","Property"
"SerialXX","","Serial number of the mobile or manufactured home.  For two units/sections, Serial U should be used first, Serial X second over or Serial XX.","No","Property"
"Sewer","FeaturesInterior, Services, Sewers","A list describing the sewer or septic features of the property.","Yes","Property"
"ShowingAdvanceNotice","","The hours of advance notice required to schedule a showing.","No","Property"
